Reference, Quantity, Value, Footprint, Datasheet, MP, Availability, Price, MF, Package
C25 ,1,6.8nF,Capacitors_SMD:C_1206,
C28 ,1,120nF,Capacitors_SMD:C_1206,
C2 C9 ,2,100nF,Capacitors_SMD:C_1206,
JP1 ,1,Jumper_NC_Small,USST-footprints:J_0603,
JP2 ,1,Jumper_NO_Small,USST-footprints:J_0603,
M1 ,1,Teensy3,USST-footprints:Teensy_3.2_NoTail,
R11 R4 ,2,10k,Resistors_SMD:R_0805,
R19 ,1,3.3k,Resistors_SMD:R_0805,
R20 ,1,2.7k,Resistors_SMD:R_0805,
U1 ,1,BNO055,BNO055:LGA28R50P4X10_380X520X100,BNO055 9-axis Absolute Orientation Sensor %28 SiP %29 w/Sensors and Sensor Fusion,BNO055,Good,8.19 USD,Bosch,LGA-28 Bosch