Reference, Quantity, Value, Footprint, Datasheet
C15 C38 ,2,15p,Capacitors_SMD:C_0805,
C2 C32 ,2,100n,Capacitors_SMD:C_0805,
C22 ,1,22n,Capacitors_SMD:C_0805,
C25 ,1,100u,w_smd_cap:c_tant_B,
C28 C29 C30 ,3,220n,Capacitors_SMD:C_0805,
C34 C36 ,2,2.2n,Capacitors_SMD:C_0805,
C37 ,1,15u,100V,w_smd_cap:c_2220,
C19 C21 C27 C3 C33 C39 ,6,4.7u,,
C10 C11 C12 C13 C14 C16 C17 C18 C20 C23 C24 C26 C31 C35 C401 C41 C52 ,17,2.2u,Capacitors_SMD:C_0805,
C1 C40 C43 C44 C49 C8 C9 ,7,10u,50V,CRF1:SMD-1206,
C4 C5 C6 C7 ,4,4n7,Capacitors_SMD:C_0805,
C51 ,1,15u, 100v,w_smd_cap:c_2220,
D1 ,1,GREEN,LEDs:LED_0805,
D2 ,1,RED,LEDs:LED_0805,
D3 ,1,LED,LEDs:LED_0805,
D5 ,1,TVS 5V,w_smd_diode:do214ac,
JP1 JP10 JP11 JP12 JP13 JP2 JP3 JP4 JP5 JP6 JP7 JP8 JP9 ,13,Jumper_NC_Small,USST-footprints:J_0603,
P10 ,1,AMP17614426-2_EDGE,USST-footprints:TE2007088-1_Edge_Long,
Q1 Q2 Q3 Q4 Q5 Q6 ,6,IRF7749L1TRPBF,CRF1:D2PAK-7-GDS,
R1 ,1,NTC 10k,Resistors_SMD:R_0805,
R103 R104 ,2,22R,Resistors_SMD:R_0805,
R10 R2 R20 R7 R8 R9 ,6,10k,Resistors_SMD:R_0805,
R25 ,1,1M,Resistors_SMD:R_0805,
R28 R29 R34 R35 R42 R43 ,6,4R7,Resistors_SMD:R_0805,
R23 R26 R3 R30 R32 R36 R46 ,7,39k,Resistors_SMD:R_0805,
R37 R38 R48 R49 R50 R51 ,6,100R,Resistors_SMD:R_0805,
R11 R12 R13 R22 R24 R27 R33 R4 ,8,2k2,Resistors_SMD:R_0805,
R401 ,1,NI,Resistors_SMD:R_0805,
R5 ,1,1k,Resistors_SMD:R_0805,
R53 R54 ,2,SHUNT,CRF1:WSLP2726,
R6 ,1,0,Resistors_SMD:R_1210,
U1 ,1,STM32F40X_LQFP64,CRF1:lqfp64_pad_mod,
U2 ,1,TC2117,CRF1:SOT-223,
U3 ,1,DRV8302,CRF1:TSSOP-56-PP,
U401 ,1,MCP2562FD,CRF1:SOIC-8-W,
W1 ,1,SWD_VCC,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
W2 ,1,SWCLK,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
W3 ,1,SWDIO,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
W4 ,1,NRST,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
W5 ,1,SWD_GND,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
X2 ,1,CRYSTAL_GROUND_PIN,CRF1:Crystal_5x3mm,